Summary,Issue Type,Priority,Description,Labels,Components
"Accessibility - Missing ARIA Level Attributes on Headings","Bug","High","Element div is missing one or more required attributes. Missing aria-level attributes on heading elements.

Technical Details:
- WCAG Reference: 4.1.2 (Name, Role, Value)
- Section 508 Reference: A 4.1.2
- Pages Affected: 14 pages (blog pages)
- Specific Issue: div elements with role='heading' are missing required aria-level attributes
- Example Code: <div role='heading'>Blog Post Title</div> (missing aria-level='1' or '2')
- Impact: Screen readers cannot determine heading hierarchy without aria-level

Solution:
Add appropriate aria-level attributes to heading elements to maintain proper heading hierarchy.
- For h1 equivalent: <div role='heading' aria-level='1'>
- For h2 equivalent: <div role='heading' aria-level='2'>
- Ensure logical heading order (1, 2, 3, etc.)","accessibility,wcag,headings","Frontend"
"Accessibility - Missing Table Headers","Bug","High","Identify row and column headers in data tables using th elements, and mark layout tables with role=presentation. Data tables allow screen reader users to understand column and row relationships.

Technical Details:
- WCAG Reference: 1.3.1 (Info and Relationships)
- Section 508 Reference: A F91
- Pages Affected: 4 pages
  - https://www.superfeet.com/pages/accessibility-policy (Line 2765)
  - https://www.superfeet.com/pages/ccpa-privacy-policy (Lines 2769, 2812, 2831)
  - https://www.superfeet.com/pages/privacy-policy (Lines 2793, 2862)
  - https://www.superfeet.com/pages/u-s-shipping-policy (Line 2764)
- Specific Issue: Tables using <td> elements for headers instead of <th>
- Example Code: <tr><td>Name</td><td>Email</td></tr> (should be <th>)
- Impact: Screen readers cannot identify table structure and relationships

Solution:
If a data table has headers marked up using td, then change these to th. If a data table has no headers, add th elements describing each row and/or column. If the table is only used for layout add role=presentation to the table element.
- Data tables: <th>Name</th><th>Email</th>
- Layout tables: <table role='presentation'>","accessibility,wcag,tables","Frontend"
"Accessibility - Missing iframe Title Attributes","Bug","High","iframe and frame elements must have a title attribute. Without a title some screen readers read out the frame filename, which is usually meaningless.

Technical Details:
- WCAG Reference: 4.1.2 (Name, Role, Value)
- Section 508 Reference: A 4.1.2
- Pages Affected: 2 pages
  - https://www.superfeet.com/ (Line 8501)
  - https://www.superfeet.com/blogs/company-news/superfeet-hockey-insoles-the-ultimate-assist (Line 2791)
- Specific Issue: iframe elements without title attributes
- Example Code: <iframe src='widget.html'></iframe> (missing title)
- Impact: Screen readers announce 'frame' or filename instead of meaningful description

Solution:
Add a title attribute or ARIA label to each iframe and frame element (e.g. title='Main Content').
- Example: <iframe src='widget.html' title='Product Information Widget'>
- For embedded content: <iframe title='YouTube Video Player'>
- For forms: <iframe title='Contact Form'>","accessibility,wcag,iframes","Frontend"
"Accessibility - Missing Link Names","Bug","High","Links must have an accessible name. A link name allows screen readers to voice what the links does. If there is no link content, or the link content is hidden by CSS, screen readers have nothing to read.

Technical Details:
- WCAG Reference: 2.4.4 (Link Purpose, In Context), 2.4.9 (Link Purpose, Link Only), 4.1.2 (Name, Role, Value)
- Section 508 Reference: A F89
- Pages Affected: 35 pages
- Specific Issues:
  - Empty links: <a href='/page'></a>
  - Image links without alt text: <a href='/page'><img src='icon.png'></a>
  - Links with only icons: <a href='/page'><i class='icon'></i></a>
- Impact: Screen readers announce 'link' without purpose or destination

Solution:
Add text between the a element start and end tags, add an aria-label attribute, add an aria-labelledby attribute, or add an img alt attribute labeling the link if it contains an img element.
- Text links: <a href='/page'>Learn More</a>
- Image links: <a href='/page'><img src='icon.png' alt='Learn More'></a>
- Icon links: <a href='/page' aria-label='Learn More'><i class='icon'></i></a>","accessibility,wcag,links","Frontend"
"Accessibility - Duplicate Link Text with Different Destinations","Bug","High","Several links on a page share the same link text and surrounding context, but go to different destinations. This is confusing for screen reader users.

Technical Details:
- WCAG Reference: 2.4.4 (Link Purpose, In Context), 2.4.9 (Link Purpose, Link Only)
- Section 508 Reference: A F63
- Pages Affected: 94 pages
- Specific Issue: Multiple 'Learn More' or 'Read More' links pointing to different pages
- Example Code: 
  - <a href='/product1'>Learn More</a>
  - <a href='/product2'>Learn More</a>
- Impact: Screen readers cannot distinguish between identical link texts

Solution:
Make the link text unique for each target page (which helps all users) or add an aria-label or aria-describedby to the link (which helps screen reader users).
- Unique text: <a href='/product1'>Learn More About Product 1</a>
- ARIA labels: <a href='/product1' aria-label='Learn More About Product 1'>Learn More</a>
- Context: <a href='/product1'>Learn More <span class='sr-only'>About Product 1</span></a>","accessibility,wcag,links","Frontend"
"Accessibility - Invalid ARIA References","Bug","High","The aria-labelledby attribute references a blank element, and the aria-owns attribute must point to IDs of elements in the same document. These IDs weren't found: predictive-search-results-list.

Technical Details:
- WCAG Reference: 4.1.2 (Name, Role, Value), 1.3.1 (Info and Relationships)
- Section 508 Reference: A 4.1.2, A 1.3.1
- Pages Affected: 95 pages
- Specific Issues:
  - Broken aria-labelledby: <div aria-labelledby='missing-id'>
  - Missing aria-owns target: <div aria-owns='predictive-search-results-list'> (element doesn't exist)
  - Empty referenced elements: <div id='label'></div> (no text content)
- Impact: Screen readers cannot access proper labels or understand element relationships

Solution:
Make sure aria-labelledby references an element containing text, and ensure aria-owns points to valid element IDs in the same document.
- Valid aria-labelledby: <div aria-labelledby='search-label'><span id='search-label'>Search Products</span>
- Valid aria-owns: <div aria-owns='results'><ul id='results'></ul>
- Check all ARIA references exist and contain meaningful content","accessibility,wcag,aria","Frontend"
"Accessibility - Nested Interactive Controls","Bug","High","The button element must not appear as a descendant of an element with role=button. An interactive control nested inside another interactive control is not voiced correctly by screen readers.

Technical Details:
- WCAG Reference: 4.1.2 (Name, Role, Value)
- Section 508 Reference: A 4.1.2
- Pages Affected: 1 page
  - https://www.superfeet.com/ (Lines 7827, 7851, 7875, 7899)
- Specific Issue: Button elements nested inside elements with role='button'
- Example Code: <div role='button'><button>Click Me</button></div>
- Impact: Screen readers may not announce both controls or may cause confusion

Solution:
Restructure the HTML to avoid nesting interactive controls within each other.
- Separate controls: <div role='button'>Main Action</div> and <button>Secondary Action</button>
- Use single control: <button>Main Action with Secondary Option</button>
- Consider using aria-expanded for expandable content instead of nested buttons","accessibility,wcag,interactive","Frontend"
"Accessibility - Visual Label Not in Accessible Name","Bug","High","The visual label must appear in the accessible name of links and controls. People who use speech control rely on being able to select elements using the visual label displayed on screen.

Technical Details:
- WCAG Reference: 2.5.3 (Label in Name)
- Section 508 Reference: A F96
- Pages Affected: 23 pages
- Specific Issue: Visual text doesn't match accessible name
- Example Code: 
  - Visual: 'Submit Order' but aria-label='Submit'
  - Visual: 'Add to Cart' but accessible name is 'Add'
- Impact: Speech control users cannot activate controls using visible text

Solution:
Ensure the visual label text is included in the accessible name of interactive elements.
- Match exactly: aria-label='Submit Order' matches visual 'Submit Order'
- Include visual text: aria-label='Add to Cart - Blue Widget' includes visual 'Add to Cart'
- Use visible text as base: <button>Submit Order</button> (no aria-label needed)","accessibility,wcag,labels","Frontend"
"Accessibility - Empty Button Elements","Bug","High","This button element is empty and has no accessible name. A programmatically determined name allows screen readers to tell users what the control does.

Technical Details:
- WCAG Reference: 4.1.2 (Name, Role, Value)
- Section 508 Reference: A 4.1.2
- Pages Affected: 32 pages
- Specific Issues:
  - Empty buttons: <button></button>
  - Icon-only buttons without labels: <button><i class='icon'></i></button>
  - Buttons with hidden text: <button><span class='sr-only'>Hidden</span></button>
- Impact: Screen readers announce 'button' without purpose

Solution:
Add text between the button start and end tags, add a title attribute, add an aria-label attribute, add an aria-labelledby attribute, or add an img alt attribute if the button contains an img element.
- Text buttons: <button>Close</button>
- Icon buttons: <button aria-label='Close'><i class='close-icon'></i></button>
- Image buttons: <button><img src='close.png' alt='Close'></button>","accessibility,wcag,buttons","Frontend"
"Accessibility - JavaScript Links Without Proper Markup","Bug","High","This element uses JavaScript to behave like a link. Links like this cannot be tabbed to from the keyboard and are not read out when screen readers list the links on a page.

Technical Details:
- WCAG Reference: 1.3.1 (Info and Relationships), 2.1.1 (Keyboard), 2.1.3 (Keyboard, No Exception), 4.1.2 (Name, Role, Value)
- Section 508 Reference: A F42
- Pages Affected: 97 pages
- Specific Issues:
  - JavaScript links: <span onclick='goToPage()'>Click Here</span>
  - Div links: <div onclick='window.location.href='/page''>Link</div>
  - Button links: <button onclick='window.location.href='/page''>Link</button>
- Impact: Not keyboard accessible, not announced as links by screen readers

Solution:
Use an a or area element with a fallback link target in the href attribute, to ensure it receive keyboard focus and behaves like a link.
- Proper link: <a href='/page' onclick='enhanceLink(event)'>Click Here</a>
- Fallback href: <a href='/page' onclick='return false;'>Enhanced Link</a>
- ARIA role: <span role='link' tabindex='0' onclick='goToPage()'>Click Here</span>","accessibility,wcag,links,javascript","Frontend"
