Summary,Issue Type,Priority,Description,Labels,Components
"Accessibility - Missing or Invalid Alt Text and Image Accessible Names","Bug","High","Multiple issues with image accessibility including placeholder alt text, missing accessible names for images, missing alt text, and missing SVG accessible names. These issues prevent screen reader users from understanding image content.

Technical Details:
- WCAG Reference: 1.1.1 (Non-text Content), 1.2.1 (Audio-only and Video-only)
- Section 508 Reference: A F30, A F65, A 1.1.1
- Pages Affected: Multiple pages across the site
- Specific Issues:
  - Alt text contains placeholders like 'picture' or 'spacer' (https://www.superfeet.com/ Line 7912)
  - Elements with role=img missing accessible names (https://tracking.superfeet.com/ Line 290)
  - img elements missing alt attributes (https://www.superfeet.com/pages/new-product-releases Line 2780)
  - SVG elements with graphic role missing accessible names (https://www.superfeet.com/ Line 4600)

Solution:
- For purely decorative images and spacers use alt=''
- For images of text use the text content
- For other images use a descriptive alt attribute
- For elements with role=img add aria-label or aria-labelledby attributes
- For SVG elements add accessible names using title elements or ARIA labels
- Purely decorative images should use role=presentation","accessibility,wcag,images","Frontend"
"Accessibility - Missing ARIA Level Attributes on Headings","Bug","High","Element div is missing one or more required attributes. Missing aria-level attributes on heading elements.

Technical Details:
- WCAG Reference: 4.1.2 (Name, Role, Value)
- Section 508 Reference: A 4.1.2
- Pages Affected: 14 pages (blog pages)

Solution:
Add appropriate aria-level attributes to heading elements to maintain proper heading hierarchy.","accessibility,wcag,headings","Frontend"
"Accessibility - Missing Table Headers","Bug","High","Identify row and column headers in data tables using th elements, and mark layout tables with role=presentation. Data tables allow screen reader users to understand column and row relationships.

Technical Details:
- WCAG Reference: 1.3.1 (Info and Relationships)
- Section 508 Reference: A F91
- Pages Affected: 4 pages
  - https://www.superfeet.com/pages/accessibility-policy (Line 2765)
  - https://www.superfeet.com/pages/ccpa-privacy-policy (Lines 2769, 2812, 2831)
  - https://www.superfeet.com/pages/privacy-policy (Lines 2793, 2862)
  - https://www.superfeet.com/pages/u-s-shipping-policy (Line 2764)

Solution:
If a data table has headers marked up using td, then change these to th. If a data table has no headers, add th elements describing each row and/or column. If the table is only used for layout add role=presentation to the table element.","accessibility,wcag,tables","Frontend"
"Accessibility - Missing iframe Title Attributes","Bug","High","iframe and frame elements must have a title attribute. Without a title some screen readers read out the frame filename, which is usually meaningless.

Technical Details:
- WCAG Reference: 4.1.2 (Name, Role, Value)
- Section 508 Reference: A 4.1.2
- Pages Affected: 2 pages
  - https://www.superfeet.com/ (Line 8501)
  - https://www.superfeet.com/blogs/company-news/superfeet-hockey-insoles-the-ultimate-assist (Line 2791)

Solution:
Add a title attribute or ARIA label to each iframe and frame element (e.g. title='Main Content').","accessibility,wcag,iframes","Frontend"
"Accessibility - Non-Descriptive Link Text","Bug","High","Link uses general text like 'Click Here' with no surrounding text explaining link purpose. Screen reader users use text around links to help understand what the link does.

Technical Details:
- WCAG Reference: 2.4.4 (Link Purpose, In Context), 2.4.9 (Link Purpose, Link Only)
- Section 508 Reference: A F63
- Pages Affected: 17 pages (various collection pages)

Solution:
Either use a descriptive link label (which helps all users) or add an aria-label or aria-describedby to the link (which helps screen reader users).","accessibility,wcag,links","Frontend"
"Accessibility - Missing Link Names","Bug","High","Links must have an accessible name. A link name allows screen readers to voice what the links does. If there is no link content, or the link content is hidden by CSS, screen readers have nothing to read.

Technical Details:
- WCAG Reference: 2.4.4 (Link Purpose, In Context), 2.4.9 (Link Purpose, Link Only), 4.1.2 (Name, Role, Value)
- Section 508 Reference: A F89
- Pages Affected: 35 pages

Solution:
Add text between the a element start and end tags, add an aria-label attribute, add an aria-labelledby attribute, or add an img alt attribute labeling the link if it contains an img element.","accessibility,wcag,links","Frontend"
"Accessibility - Duplicate Link Text with Different Destinations","Bug","High","Several links on a page share the same link text and surrounding context, but go to different destinations. This is confusing for screen reader users.

Technical Details:
- WCAG Reference: 2.4.4 (Link Purpose, In Context), 2.4.9 (Link Purpose, Link Only)
- Section 508 Reference: A F63
- Pages Affected: 94 pages

Solution:
Make the link text unique for each target page (which helps all users) or add an aria-label or aria-describedby to the link (which helps screen reader users).","accessibility,wcag,links","Frontend"
"Accessibility - Invalid ARIA References","Bug","High","The aria-labelledby attribute references a blank element, and the aria-owns attribute must point to IDs of elements in the same document. These IDs weren't found: predictive-search-results-list.

Technical Details:
- WCAG Reference: 4.1.2 (Name, Role, Value), 1.3.1 (Info and Relationships)
- Section 508 Reference: A 4.1.2, A 1.3.1
- Pages Affected: 95 pages

Solution:
Make sure aria-labelledby references an element containing text, and ensure aria-owns points to valid element IDs in the same document.","accessibility,wcag,aria","Frontend"
"Accessibility - Nested Interactive Controls","Bug","High","The button element must not appear as a descendant of an element with role=button. An interactive control nested inside another interactive control is not voiced correctly by screen readers.

Technical Details:
- WCAG Reference: 4.1.2 (Name, Role, Value)
- Section 508 Reference: A 4.1.2
- Pages Affected: 1 page
  - https://www.superfeet.com/ (Lines 7827, 7851, 7875, 7899)

Solution:
Restructure the HTML to avoid nesting interactive controls within each other.","accessibility,wcag,interactive","Frontend"
"Accessibility - Visual Label Not in Accessible Name","Bug","High","The visual label must appear in the accessible name of links and controls. People who use speech control rely on being able to select elements using the visual label displayed on screen.

Technical Details:
- WCAG Reference: 2.5.3 (Label in Name)
- Section 508 Reference: A F96
- Pages Affected: 23 pages

Solution:
Ensure the visual label text is included in the accessible name of interactive elements.","accessibility,wcag,labels","Frontend"
"Accessibility - Empty Button Elements","Bug","High","This button element is empty and has no accessible name. A programmatically determined name allows screen readers to tell users what the control does.

Technical Details:
- WCAG Reference: 4.1.2 (Name, Role, Value)
- Section 508 Reference: A 4.1.2
- Pages Affected: 32 pages

Solution:
Add text between the button start and end tags, add a title attribute, add an aria-label attribute, add an aria-labelledby attribute, or add an img alt attribute if the button contains an img element.","accessibility,wcag,buttons","Frontend"
